epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,603.038,2.06804,1.12535,1.01514,0.75532,0.79828,0.82861,0.35992,1.57132,0.99398,0.96025,0.0014984,0.0014984,0.0014984
78,610.469,2.07465,1.14841,1.00831,0.7736,0.74792,0.81929,0.32914,1.62951,1.01285,0.96367,0.0014918,0.0014918,0.0014918
79,617.35,1.80647,1.07517,0.99098,0.7736,0.74792,0.81929,0.32914,1.62951,1.01285,0.96367,0.0014852,0.0014852,0.0014852
80,624.136,1.78084,1.08503,0.96661,0.74441,0.73391,0.77639,0.27703,1.90255,1.05282,1.00102,0.0014786,0.0014786,0.0014786
81,631.873,1.84702,1.16743,0.97507,0.74441,0.73391,0.77639,0.27703,1.90255,1.05282,1.00102,0.001472,0.001472,0.001472
82,639.535,1.68331,1.18116,1.01264,0.72746,0.69957,0.72187,0.24855,2.1389,1.05494,1.03837,0.0014654,0.0014654,0.0014654
83,646.505,1.89531,1.17586,0.99,0.72746,0.69957,0.72187,0.24855,2.1389,1.05494,1.03837,0.0014588,0.0014588,0.0014588
84,653.925,1.89419,1.17017,0.9685,0.78728,0.75966,0.7859,0.28636,1.68448,1.01513,0.96474,0.0014522,0.0014522,0.0014522
85,661.373,1.8208,1.10842,0.98388,0.78728,0.75966,0.7859,0.28636,1.68448,1.01513,0.96474,0.0014456,0.0014456,0.0014456
86,668.096,1.79206,1.07036,0.98161,0.81337,0.80687,0.83926,0.3679,1.55164,0.98059,0.95052,0.001439,0.001439,0.001439
87,675.013,1.71014,1.08882,0.94755,0.81337,0.80687,0.83926,0.3679,1.55164,0.98059,0.95052,0.0014324,0.0014324,0.0014324
88,682.715,1.79544,1.13209,0.9551,0.81255,0.82403,0.84817,0.39898,1.59271,1.00254,0.95767,0.0014258,0.0014258,0.0014258
89,690.491,1.76527,1.12985,0.95297,0.81255,0.82403,0.84817,0.39898,1.59271,1.00254,0.95767,0.0014192,0.0014192,0.0014192
90,697.93,1.69147,1.08927,0.95467,0.79,0.80687,0.83726,0.38968,1.63699,0.99497,0.95729,0.0014126,0.0014126,0.0014126
91,705.857,1.72361,1.0895,0.93688,0.79,0.80687,0.83726,0.38968,1.63699,0.99497,0.95729,0.001406,0.001406,0.001406
92,713.949,1.72819,1.086,0.96651,0.79545,0.78541,0.83355,0.37886,1.57876,0.97589,0.94629,0.0013994,0.0013994,0.0013994
